$$Component_Title,$$Component_Description,$$Component_Type,$$Rule_Id,$$Rule_Description,$Parameter_Id,$Parameter_Description,$Parameter_Value_Alternatives,$Parameter_Value_Default,$$Profile_Source,$$Profile_Description,$$Control_Id_List,Check_Id,Check_Description,$$Namespace
OCP4,OCP4,service,file_groupowner_etcd_member,Ensure that the etcd pod specification file ownership is set to root:root (Automated),,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.8,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_cni_conf,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_multus_conf,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_ip_allocations,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_perms_openshift_sdn_cniserver_config,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_ovs_pid,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_ovs_conf_db,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_ovs_sys_id_conf,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_ovs_conf_db_lock,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_ovs_vswitchd_pid,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_ovsdb_server_pid,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_cni_conf,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_cni_conf,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_multus_conf,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_multus_conf,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_ip_allocations,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_ip_allocations,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_openshift_sdn_cniserver_config,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_openshift_sdn_cniserver_config,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_ovs_pid,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_ovs_pid,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_ovs_conf_db,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_ovs_conf_db,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_ovs_sys_id_conf,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_ovs_sys_id_conf,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_ovs_conf_db_lock,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_ovs_conf_db_lock,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_ovs_vswitchd_pid,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_ovs_vswitchd_pid,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_ovsdb_server_pid,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_ovsdb_server_pid,Ensure that the Container Network Interface file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_etcd_data_dir,Ensure that the etcd data directory permissions are set to 700 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.11,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_etcd_data_files,Ensure that the etcd data directory permissions are set to 700 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.11,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_etcd_data_dir,Ensure that the etcd data directory ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.12,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_etcd_data_dir,Ensure that the etcd data directory ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.12,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_etcd_data_files,Ensure that the etcd data directory ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.12,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_etcd_data_files,Ensure that the etcd data directory ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.12,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_master_admin_kubeconfigs,Ensure that the admin.conf file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.13,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_master_admin_kubeconfigs,Ensure that the admin.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.14,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_master_admin_kubeconfigs,Ensure that the admin.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.14,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_scheduler_kubeconfig,Ensure that the scheduler.conf file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.15,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_scheduler_kubeconfig,Ensure that the scheduler.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.16,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_scheduler_kubeconfig,Ensure that the scheduler.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.16,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_controller_manager_kubeconfig,Ensure that the controller-manager.conf file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.17,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_controller_manager_kubeconfig,Ensure that the controller-manager.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.18,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_controller_manager_kubeconfig,Ensure that the controller-manager.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.18,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_openshift_pki_key_files,Ensure that the OpenShift PKI directory and file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.19,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_openshift_pki_key_files,Ensure that the OpenShift PKI directory and file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.19,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_openshift_pki_cert_files,Ensure that the OpenShift PKI directory and file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.19,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_openshift_pki_cert_files,Ensure that the OpenShift PKI directory and file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.19,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_etcd_pki_cert_files,Ensure that the OpenShift PKI directory and file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.19,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_etcd_pki_cert_files,Ensure that the OpenShift PKI directory and file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.19,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_openshift_pki_cert_files,Ensure that the OpenShift PKI certificate file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.20,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_etcd_pki_cert_files,Ensure that the OpenShift PKI certificate file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.20,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_openshift_pki_key_files,Ensure that the OpenShift PKI key file permissions are set to 600,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-1.1.21,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,etcd_unique_ca,Ensure that a unique Certificate Authority is used for etcd,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-2.7,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_worker_service,Ensure that the kubelet service file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_worker_service,Ensure that the kubelet service file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_worker_service,Ensure that the kubelet service file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_kubelet_conf,Ensure that the --kubeconfig kubelet.conf file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.5,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_kubelet_conf,Ensure that the --kubeconfig kubelet.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_kubelet,Ensure that the --kubeconfig kubelet.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_kubelet_conf,Ensure that the --kubeconfig kubelet.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_kubelet,Ensure that the --kubeconfig kubelet.conf file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_worker_ca,Ensure that the certificate authorities file permissions are set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.7,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_worker_ca,Ensure that the client certificate authorities file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.8,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_worker_ca,Ensure that the client certificate authorities file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.8,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_permissions_worker_kubeconfig,Ensure that the kubelet --config configuration file has permissions set to 644 or more restrictive,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_owner_worker_kubeconfig,Ensure that the kubelet configuration file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,file_groupowner_worker_kubeconfig,Ensure that the kubelet configuration file ownership is set to root:root,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.1.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,kubelet_enable_protect_kernel_sysctl,Ensure that the --protect-kernel-defaults argument is set to true,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.2.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,kubelet_enable_protect_kernel_defaults,Ensure that the --protect-kernel-defaults argument is set to true,,,,,profiles/OCP4_CIS_NODE/profile.json,OCP4 CIS Node Profile,CIS-4.2.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_anonymous_auth,Ensure that the --anonymous-auth argument is set to false,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_basic_auth,Ensure that the --basic-auth-file argument is not set,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_token_auth,Ensure that the --token-auth-file parameter is not set,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.3,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_https_for_kubelet_conn,Ensure that the --kubelet-https argument is set to true,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.4,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_openshift_https_serving_cert,Ensure that the --kubelet-https argument is set to true,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.4,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_oauth_https_serving_cert,Ensure that the --kubelet-https argument is set to true,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.4,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_kubelet_client_cert,Ensure that the --kubelet-client-certificate and --kubelet-client-key arguments are set as appropriate,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.5,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_kubelet_client_cert_pre_4_9,Ensure that the --kubelet-client-certificate and --kubelet-client-key arguments are set as appropriate,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.5,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_kubelet_client_key,Ensure that the --kubelet-client-certificate and --kubelet-client-key arguments are set as appropriate,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.5,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_kubelet_client_key_pre_4_9,Ensure that the --kubelet-client-certificate and --kubelet-client-key arguments are set as appropriate,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.5,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_kubelet_certificate_authority,Ensure that the --kubelet-certificate-authority argument is set as appropriate,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_auth_mode_no_aa,Ensure that the --authorization-mode argument is not set to AlwaysAllow,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.7,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_auth_mode_node,Ensure that the --authorization-mode argument includes Node,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.8,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_auth_mode_rbac,Ensure that the --authorization-mode argument includes RBAC,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
OCP4,OCP4,service,api_server_api_priority_gate_enabled,Ensure that the admission control plugin EventRateLimit is set,,,,,profiles/OCP4_CIS/profile.json,OCP4 CIS Profile,CIS-1.2.10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
